video_id,videoViewCount,videoLikesCount,videoCommentsCount
Lacbh0VoT3g,27260,554,41
oZKs2xMbXQE,8309,159,26
N8f7NtDpbxA,15185,646,39
wcKzdRVsMOw,50864,1824,252
Ns-8Jsa3mEM,126700,3610,104
4rfr6A3lO-Y,82091,1774,63
OTq2NRy_AGs,16042,429,23
ya28cb3zFGE,66339,2243,220
Hsi2BG0SOiQ,9809,351,20
6lQzbk6_OTw,31262,1475,141
